year,comunidad_autonoma,sexo,medida,value
2010,Castilla-La Mancha,Mujeres,mediana,15059.88
2010,Cataluña,Hombres,cuartil_25,17254.96
2010,Cataluña,Hombres,cuartil_75,34215.18
2010,Cataluña,Hombres,media,27601.02
2010,Cataluña,Hombres,mediana,23488.62
2010,Cataluña,Mujeres,cuartil_25,12314.57
2010,Cataluña,Mujeres,cuartil_75,26680.29
2010,Cataluña,Mujeres,media,21042.14
2010,Cataluña,Mujeres,mediana,18016.02
2010,Comunidad de Madrid,Hombres,cuartil_25,16650.2
2010,Comunidad de Madrid,Hombres,cuartil_75,36000.02
2010,Comunidad de Madrid,Hombres,media,29016.28
2010,Comunidad de Madrid,Hombres,mediana,23662.92
2010,Comunidad de Madrid,Mujeres,cuartil_25,13081.11
2010,Comunidad de Madrid,Mujeres,cuartil_75,28789.2
2010,Comunidad de Madrid,Mujeres,media,22721.17
2010,Comunidad de Madrid,Mujeres,mediana,18788.2
2010,Comunitat Valenciana,Hombres,cuartil_25,14890.79
2010,Comunitat Valenciana,Hombres,cuartil_75,27990.08
2010,Comunitat Valenciana,Hombres,media,23331.71
2010,Comunitat Valenciana,Hombres,mediana,19562.83
2010,Comunitat Valenciana,Mujeres,cuartil_25,10660.83
2010,Comunitat Valenciana,Mujeres,cuartil_75,22202.72
2010,Comunitat Valenciana,Mujeres,media,17776.59
2010,Comunitat Valenciana,Mujeres,mediana,15293.73
2010,Extremadura,Hombres,cuartil_25,13922.04
2010,Extremadura,Hombres,cuartil_75,22923.6
2010,Extremadura,Hombres,media,20787.03
2010,Extremadura,Hombres,mediana,16856.46
2010,Extremadura,Mujeres,cuartil_25,9962.15
2010,Extremadura,Mujeres,cuartil_75,23111.87
2010,Extremadura,Mujeres,media,17876.85
2010,Extremadura,Mujeres,mediana,14334.72
2010,Galicia,Hombres,cuartil_25,15403.59
2010,Galicia,Hombres,cuartil_75,25925.22
2010,Galicia,Hombres,media,22626.21
2010,Galicia,Hombres,mediana,18574.49
2010,Galicia,Mujeres,cuartil_25,10755.09
2010,Galicia,Mujeres,cuartil_75,21709.52
2010,Galicia,Mujeres,media,17691.11
2010,Galicia,Mujeres,mediana,14992.42
2010,Illes Balears,Hombres,cuartil_25,15292.65
2010,Illes Balears,Hombres,cuartil_75,27463.27
2010,Illes Balears,Hombres,media,23213.04
2010,Illes Balears,Hombres,mediana,19609.49
2010,Illes Balears,Mujeres,cuartil_25,13133.39
2010,Illes Balears,Mujeres,cuartil_75,24034.08
2010,Illes Balears,Mujeres,media,19812.19
2010,Illes Balears,Mujeres,mediana,17240.49
2010,La Rioja,Hombres,cuartil_25,16206.31
2010,La Rioja,Hombres,cuartil_75,27084.72
2010,La Rioja,Hombres,media,23641.44
2010,La Rioja,Hombres,mediana,20413.18
2010,La Rioja,Mujeres,cuartil_25,10950.0
2010,La Rioja,Mujeres,cuartil_75,22202.6
2010,La Rioja,Mujeres,media,18131.05
2010,La Rioja,Mujeres,mediana,15653.58
2010,Navarra,Hombres,cuartil_25,18593.62
2010,Navarra,Hombres,cuartil_75,32534.65
2010,Navarra,Hombres,media,26982.49
2010,Navarra,Hombres,mediana,24699.19
2010,Navarra,Mujeres,cuartil_25,12350.65
2010,Navarra,Mujeres,cuartil_75,25260.11
2010,Navarra,Mujeres,media,19927.15
2010,Navarra,Mujeres,mediana,18188.13
2010,País Vasco,Hombres,cuartil_25,19553.56
2010,País Vasco,Hombres,cuartil_75,36870.47
2010,País Vasco,Hombres,media,29708.66
2010,País Vasco,Hombres,mediana,27126.19
2010,País Vasco,Mujeres,cuartil_25,13001.53
2010,País Vasco,Mujeres,cuartil_75,30016.19
2010,País Vasco,Mujeres,media,22706.1
2010,País Vasco,Mujeres,mediana,19447.42
2010,Región de Murcia,Hombres,cuartil_25,14977.48
2010,Región de Murcia,Hombres,cuartil_75,27926.66
2010,Región de Murcia,Hombres,media,23482.48
2010,Región de Murcia,Hombres,mediana,19343.5
2010,Región de Murcia,Mujeres,cuartil_25,10212.36
2010,Región de Murcia,Mujeres,cuartil_75,21813.52
2010,Región de Murcia,Mujeres,media,17838.28
2010,Región de Murcia,Mujeres,mediana,14562.5
2011,Andalucía,Hombres,cuartil_25,14839.16
2011,Andalucía,Hombres,cuartil_75,29326.05
2011,Andalucía,Hombres,media,23815.22
2011,Andalucía,Hombres,mediana,19772.01
2011,Andalucía,Mujeres,cuartil_25,9858.12
2011,Andalucía,Mujeres,cuartil_75,23973.22
2011,Andalucía,Mujeres,media,18389.21
2011,Andalucía,Mujeres,mediana,15578.41
2011,Aragón,Hombres,cuartil_25,16616.19
2011,Aragón,Hombres,cuartil_75,30535.09
2011,Aragón,Hombres,media,25258.68
2011,Aragón,Hombres,mediana,22542.61
2011,Aragón,Mujeres,cuartil_25,11502.38
2011,Aragón,Mujeres,cuartil_75,23769.33
2011,Aragón,Mujeres,media,18831.38
2011,Aragón,Mujeres,mediana,16206.05
2011,Asturias,Hombres,cuartil_25,16795.11
