year,comunidad_autonoma,tipo_divorcio,numero_divorcios
2018,Castilla-La Mancha,Divorcio No Contencioso,2779.0
2018,Castilla-La Mancha,Divorcio contencioso,1015.0
2018,Castilla-La Mancha,Total,3795.0
2018,Cataluña,Divorcio No Contencioso,14297.0
2018,Cataluña,Divorcio contencioso,2752.0
2018,Cataluña,Total,17049.0
2018,Ceuta,Divorcio No Contencioso,99.0
2018,Ceuta,Divorcio contencioso,100.0
2018,Ceuta,Total,199.0
2018,Comunidad de Madrid,Divorcio No Contencioso,9933.0
2018,Comunidad de Madrid,Divorcio contencioso,2940.0
2018,Comunidad de Madrid,Total,12873.0
2018,Comunitat Valenciana,Divorcio No Contencioso,9187.0
2018,Comunitat Valenciana,Divorcio contencioso,2345.0
2018,Comunitat Valenciana,Total,11533.0
2018,Extremadura,Divorcio No Contencioso,1397.0
2018,Extremadura,Divorcio contencioso,398.0
2018,Extremadura,Total,1795.0
2018,Galicia,Divorcio No Contencioso,3814.0
2018,Galicia,Divorcio contencioso,1138.0
2018,Galicia,Total,4953.0
2018,Illes Balears,Divorcio No Contencioso,2050.0
2018,Illes Balears,Divorcio contencioso,449.0
2018,Illes Balears,Total,2498.0
2018,La Rioja,Divorcio No Contencioso,474.0
2018,La Rioja,Divorcio contencioso,123.0
2018,La Rioja,Total,597.0
2018,Melilla,Divorcio No Contencioso,95.0
2018,Melilla,Divorcio contencioso,66.0
2018,Melilla,Total,161.0
2018,Navarra,Divorcio No Contencioso,846.0
2018,Navarra,Divorcio contencioso,375.0
2018,Navarra,Total,1221.0
2018,País Vasco,Divorcio No Contencioso,3134.0
2018,País Vasco,Divorcio contencioso,748.0
2018,País Vasco,Total,3882.0
2018,Región de Murcia,Divorcio No Contencioso,2171.0
2018,Región de Murcia,Divorcio contencioso,788.0
2018,Región de Murcia,Total,2958.0
2019,Andalucía,Divorcio No Contencioso,12901.0
2019,Andalucía,Divorcio contencioso,4177.0
2019,Andalucía,Total,17078.0
2019,Aragón,Divorcio No Contencioso,1657.0
2019,Aragón,Divorcio contencioso,384.0
2019,Aragón,Total,2041.0
2019,Asturias,Divorcio No Contencioso,1678.0
2019,Asturias,Divorcio contencioso,417.0
2019,Asturias,Total,2095.0
2019,Canarias,Divorcio No Contencioso,3343.0
2019,Canarias,Divorcio contencioso,1083.0
2019,Canarias,Total,4425.0
2019,Cantabria,Divorcio No Contencioso,949.0
2019,Cantabria,Divorcio contencioso,228.0
2019,Cantabria,Total,1178.0
2019,Castilla y León,Divorcio No Contencioso,3073.0
2019,Castilla y León,Divorcio contencioso,938.0
2019,Castilla y León,Total,4011.0
2019,Castilla-La Mancha,Divorcio No Contencioso,2671.0
2019,Castilla-La Mancha,Divorcio contencioso,1126.0
2019,Castilla-La Mancha,Total,3797.0
2019,Cataluña,Divorcio No Contencioso,13552.0
2019,Cataluña,Divorcio contencioso,2576.0
2019,Cataluña,Total,16129.0
2019,Ceuta,Divorcio No Contencioso,90.0
2019,Ceuta,Divorcio contencioso,52.0
2019,Ceuta,Total,141.0
2019,Comunidad de Madrid,Divorcio No Contencioso,9810.0
2019,Comunidad de Madrid,Divorcio contencioso,2684.0
2019,Comunidad de Madrid,Total,12495.0
2019,Comunitat Valenciana,Divorcio No Contencioso,8749.0
2019,Comunitat Valenciana,Divorcio contencioso,2050.0
2019,Comunitat Valenciana,Total,10799.0
2019,Extremadura,Divorcio No Contencioso,1336.0
2019,Extremadura,Divorcio contencioso,419.0
2019,Extremadura,Total,1755.0
2019,Galicia,Divorcio No Contencioso,3534.0
2019,Galicia,Divorcio contencioso,1103.0
2019,Galicia,Total,4637.0
2019,Illes Balears,Divorcio No Contencioso,2060.0
2019,Illes Balears,Divorcio contencioso,387.0
2019,Illes Balears,Total,2447.0
2019,La Rioja,Divorcio No Contencioso,412.0
2019,La Rioja,Divorcio contencioso,131.0
2019,La Rioja,Total,543.0
2019,Melilla,Divorcio No Contencioso,72.0
2019,Melilla,Divorcio contencioso,25.0
2019,Melilla,Total,97.0
2019,Navarra,Divorcio No Contencioso,847.0
2019,Navarra,Divorcio contencioso,284.0
2019,Navarra,Total,1131.0
2019,País Vasco,Divorcio No Contencioso,3516.0
2019,País Vasco,Divorcio contencioso,632.0
2019,País Vasco,Total,4148.0
2019,Región de Murcia,Divorcio No Contencioso,2048.0
2019,Región de Murcia,Divorcio contencioso,651.0
2019,Región de Murcia,Total,2699.0
2020,Andalucía,Divorcio No Contencioso,11114.0
2020,Andalucía,Divorcio contencioso,2878.0
2020,Andalucía,Total,13992.0
2020,Aragón,Divorcio No Contencioso,1357.0
2020,Aragón,Divorcio contencioso,253.0
2020,Aragón,Total,1610.0
2020,Asturias,Divorcio No Contencioso,1390.0
2020,Asturias,Divorcio contencioso,305.0
2020,Asturias,Total,1696.0
2020,Canarias,Divorcio No Contencioso,3096.0
2020,Canarias,Divorcio contencioso,899.0
2020,Canarias,Total,3995.0
2020,Cantabria,Divorcio No Contencioso,785.0
2020,Cantabria,Divorcio contencioso,205.0
2020,Cantabria,Total,990.0
2020,Castilla y León,Divorcio No Contencioso,2778.0
2020,Castilla y León,Divorcio contencioso,701.0
2020,Castilla y León,Total,3479.0
2020,Castilla-La Mancha,Divorcio No Contencioso,2363.0
2020,Castilla-La Mancha,Divorcio contencioso,901.0
2020,Castilla-La Mancha,Total,3264.0
2020,Cataluña,Divorcio No Contencioso,11699.0
2020,Cataluña,Divorcio contencioso,1844.0
2020,Cataluña,Total,13543.0
2020,Ceuta,Divorcio No Contencioso,132.0
2020,Ceuta,Divorcio contencioso,38.0
2020,Ceuta,Total,170.0
2020,Comunidad de Madrid,Divorcio No Contencioso,7952.0
2020,Comunidad de Madrid,Divorcio contencioso,2110.0
2020,Comunidad de Madrid,Total,10061.0
2020,Comunitat Valenciana,Divorcio No Contencioso,7909.0
2020,Comunitat Valenciana,Divorcio contencioso,1472.0
2020,Comunitat Valenciana,Total,9381.0
2020,Extremadura,Divorcio No Contencioso,1156.0
2020,Extremadura,Divorcio contencioso,281.0
2020,Extremadura,Total,1438.0
2020,Galicia,Divorcio No Contencioso,3080.0
2020,Galicia,Divorcio contencioso,741.0
2020,Galicia,Total,3821.0
2020,Illes Balears,Divorcio No Contencioso,1813.0
